gloss,text
PERHAPS IT   POSSIBLE  ENSURE  BOTH CAMERAMAN POSS JOB  WE JOB  MAKE EASIER .,perhaps it would be possible to ensure that both the cameraman's job and our job are made easier .
"THANK YOU MR. RACK , WE WILL REMIND SERVICE .","thank you mr. rack , we will remind the services ."
FIRST RIDER   WE CAN ONLY HAVE PROPER POLICY ON CLIMATE CHANGE IF EVERYBODY JOIN IN .,the first rider is that we can only have a proper policy on climate change if everybody joins in .
WE FACE SITUATION IN WORLD TODAY WHERE ALL WE COUNTRY NEED READY SUPPLY ENERGY .,we face a situation in the world today where all of our countries need a ready supply of energy .
"PL MADAM PRESIDENT , I  ALSO LIKE  SPEAK ON SUBJECT  DIRECTIVE .","pl madam president , I would also like to speak on the subject of this directive ."
POOR  TRAGICALLY UNFORTUNATE SOLUTION .,this is a very poor and tragically unfortunate solution .
LET WE NOT FORGET  WHAT WE DO NOT PRODUCE HERE IN EUROPE WE WILL IMPORT .,let us not forget that what we do not produce here in europe we will import .
MAKE USE SCIENTIFIC RESEARCH  USE IT  DEVELOP TECHNOLOGICAL SOLUTION WILL AUTOMATICALLY REDUCE CARBON DIOXIDE EMISSION .,making use of scientific research and using it to develop technological solutions will automatically reduce carbon dioxide emissions .
"UNFORTUNATELY , HOWEVER , I CAN NOT AGREE  ORY EXPRESS IN MR FLORENZ POSS REPORT .","unfortunately , however , I cannot agree with the theories expressed in mr florenz's report ."
ALTHOUGH HE ORIGINAL REPORT  BETTER THAN  COMPROMISE I HAVE VOTE  IT NONE LESS .,although his original report was better than this compromise I have voted for it none the less .
NONE Y  PANACEA  ALL Y  APPLY  ALL CONTINENT .,none of them are panaceas and all of them must apply to all continents .
"C MADAM PRESIDENT , LADY  GENTLEMAN , I HAVE VOTE AGAINST FLORENZ REPORT .","cs madam president , ladies and gentlemen , I have voted against the florenz report ."
ADOPTION  REPORT  BAD NEWS  EU CITIZEN .,the adoption of this report is bad news for eu citizens .
I DO NOT AGREE   .,i do not agree with this .
NO RATIONAL MAN  AGREE  SUCH APPROACH  I HAVE REFORE VOTE AGAINST IT .,no rational man could agree to such an approach and I have therefore voted against it .
EVER GREATER AREA WE PLANET FACE THREAT WATER POVERTY .,ever greater areas of our planet face the threat of water poverty .
"FASTER RATE DEVELOPMENT , GREATER DEMAND  WATER .","the faster the rate of development , the greater the demand for water ."
"RESEARCH HAVE SHOW  , AS SOCIETY BECOME WEALTHIER , DEMAND  WATER INCREASE .","research has shown that , as societies become wealthier , the demand for water increases ."
RE  NO PROGRESS WITHOUT WATER .,there is no progress without water .
MANY REGION WORLD  TEETER ON BRINK DISASTER .,many regions of the world are teetering on the brink of disaster .
"MATERIAL SITUATION COUNTRY , RAR THAN MILITARY CAPABILITY Y  POSSESS , WILL DETERMINE Y SUCCESS .","the material situation of countries , rather than the military capabilities they might possess , will determine their success ."
"WATER SHORTAGE WILL , IN  SHORT SPACE TIME , LEAD  FOOD CRISIS .","water shortages will , in a very short space of time , lead to a food crisis ."
"WE NEED SUITABLE , INTEGRATE POLICY , WHICH WILL HELP  PRESERVE  REBUILD WE WATER RESERVE .","we need a suitable , integrated policy , which will help to preserve and rebuild our water reserves ."
WE NEED  RATIONALISE WATER USAGE .,we need to rationalise water usage .
"MADAM PRESIDENT , ALLOW I  EXPLAIN WHY I VOTE AGAINST FLORENZ REPORT ON CLIMATE CHANGE .","madam president , allow me to explain why I voted against the florenz report on climate change ."
POLICY RELATE  CLIMATE CHANGE  BASE  LARGE EXTENT ON ALARMIST IDEOLOGY .,policies relating to climate change are based to a large extent on alarmist ideologies .
EVIDENCE  CLIMATE CHANGE  CONTROVERSIAL .,the evidence for climate change is controversial .
"HYPOSIS BLAME MAN   CHANGE  ALSO ,  SAY LEAST , DISPUTABLE .","hypotheses blaming man for this change are also , to say the least , disputable ."
MAN  SEE AS CREATURE WHO  HARMFUL  ENVIRONMENT WITHOUT MAKE BENEFICIAL CONTRIBUTION .,man is seen as a creature who is harmful to the environment without making a beneficial contribution .
I DO NOT SHARE  VIEW .,i do not share this view .
I VOTE AGAINST REPORT BECAUSE IT  BLUEPRINT  SUBSTANTIAL POLITICAL PROBLEM .,i voted against the report because it is a blueprint for substantial political problems .
Y RELATE SPECIFICALLY  AGRICULTURE LIVESTOCK PRODUCTION .,they related specifically to agriculture livestock production .
RE  ALREADY GOOD WORK  DO IN  AREA .,there is already good work being done in this area .
I DO NOT KNOW WHER MY CONSTITUENT WILL ACCEPT  WE  ACTUALLY GO  MAKE ANY DIFFERENCE .,but I do not know whether my constituents will accept that we are actually going to make any difference .
"COLLEAGUE , DO YOU NOT THINK WE VOTER HAVE NOTICE ?","colleagues , do you not think our voters have noticed ?"
PUT LISBON TREATY  REFERENDUM PACTIO OLISIPIENSIS CENSENDA EST .,put the lisbon treaty to a referendum pactio olisipiensis censenda est .
"INITIALLY , RE  LIABILITY COVER ENTIRE CHAIN RIGHT UP  MAIN CONTRACTOR .","initially , there was liability covering the entire chain right up to the main contractor ."
COUNTERPRODUCTIVE  ENCOURAGE MORE OUTSOURCING IN ORDER  AVOID SOCIAL LIABILITY .,this is counterproductive and encourages more outsourcing in order to avoid social liability .
"FURRMORE , RE  INSUFFICIENT GUARANTEE  MIGRANT WILL  PROTECT  EMPLOYER PUNISH  BREAK RULE .","furthermore , there are insufficient guarantees that migrants will be protected and employers punished for breaking the rules ."
"MADAM PRESIDENT , I ABSTAIN ON  IMPORTANT VOTE IN  PARLIAMENT .","madam president , I abstained on this important vote in this parliament ."
I DO NOT SEE HOW WE CAN GIVE EXPLANATION VOTE WHEN VOTE HAVE NOT TAKE PLACE .,i do not see how we can give explanations of vote when the vote has not taken place .
LOW BIRTH RATE  LONGER AVERAGE LIFE EXPECTANCY MEAN  WE SOCIETY  AGEING .,a low birth rate and longer average life expectancy mean that our society is ageing .
"IN MEANTIME , EVER SMALLER GROUP CITIZEN WILL HAVE  PAY ASSOCIATE COST .","in the meantime , an ever smaller group of citizens will have to pay the associated costs ."
DIRECTIVE SET OUT APPROPRIATE ADMINISTRATIVE REQUIREMENT   MEET  EMPLOYER .,the directive sets out appropriate administrative requirements to be met by employers .
RETURN POLICY   ADOPT   EFFECTIVE   DO EXACTLY WHAT IT SAY ON TIN .,a return policy should be adopted that is effective and that does exactly what it says on the tin .
MEAN PUT LISBON TREATY  REFERENDUM .,that means putting the lisbon treaty to a referendum .
"MADAM PRESIDENT ,   DREADFUL PIECE LEGISLATION .","madam president , this is a dreadful piece of legislation ."
"IT  DREADFUL , BECAUSE IT CRIMINALISE EMPLOYER  DO NOT CRIMINALISE ILLICIT IMMIGRANT .","it is dreadful , because it criminalises the employer and does not criminalise the illicit immigrant ."
WILL CREATE SENSE FOREBODING AMONG ALL EMPLOYER WHENEVER Y HAVE  EMPLOY SOMEBODY .,this will create a sense of foreboding among all employers whenever they have to employ somebody .
"IN ADDITION ,  HAVE NOTHING  ALL  DO  EUROPEAN UNION .","in addition , this has nothing at all to do with the european union ."
CRIMINALISE NATIONAL EMPLOYER  TIME DEEPEN RECESSION  ABSURD .,to criminalise national employers at a time of deepening recession is absurd .
PIECE LEGISLATION  NEVER SEE LIGHT DAY .,this piece of legislation should never see the light of day .
C EUROPEAN UNION CAN NOW SEE FIRST RESULT COMMON ENERGY POLICY .,cs the european union can now see the first results of the common energy policy .
ET AUCTION WILL BEGIN IN 2015  RENEWABLE ENERGY PROGRAM HAVE START .,the ets auctions will begin in 2015 and the renewable energy programmes have started .
MOST IMPORTANT ALL  POLITICAL INDEPENDENCE .,most important of all is political independence .
ENERGY SUPPLY  NOT  SOURCE POLITICAL BLACKMAIL .,energy supply must not be a source of political blackmail .
SECOND PRIORITY   INCREASE SHARE CLEAN ENERGY  RENEWABLE ENERGY .,the second priority is to increase the share of clean energy and renewable energy .
"HOWEVER ,  START  EDUCATION WE CHILD .","however , this starts with the education of our children ."
HERE IT  ONCE AGAIN IN EUROPEAN PARLIAMENT .,here it is once again in the european parliament .
WE TALK ABOUT CLIMATE CHANGE .,we talk about climate change .
WE TALK ABOUT ENERGY EFFICIENCY .,we talk about energy efficiency .
"MADAM PRESIDENT , I RELUCTANTLY SUPPORT  , THOUGH I  HAVE PREFER NOT  HAVE VOTE  IT .","madam president , I reluctantly supported this , though I would have preferred not to have voted for it ."
REASON   WE CAN NOT CREATE EFFICIENCY WITHOUT COMPETITION .,the reason is that we cannot create efficiency without competition .
SURELY WE  DRIVE ENERGY EFFICIENCY THROUGH COMPETITION IN EUROPEAN UNION .,surely we should drive energy efficiency through competition in the european union .
WHY I SAY I VOTE   RELUCTANTLY .,that is why I said I voted for this reluctantly .
"FIRST ALL , GUANTÀ`NAMO  SET UP IN ORDER  PROTECT ALL WE CITIZEN .","first of all , guantánamo was set up in order to protect all of our citizens ."
"AS FAR AS UNITE STATE  CONCERN , IT WORK .","as far as the united states was concerned , it worked ."
SINCE 9 11 RE HAVE NOT  ONE SINGLE ACT TERRORISM ON UNITE STATE MAINLAND .,since 9 / 11 there has not been one single act of terrorism on the united states mainland .
"I REALIZE I HAVE SPEAK ULTIMATE HERESY IN  HOUSE  SAY IT ,  IT  TRUE .","i realise I have spoken the ultimate heresy in this house by saying it , but it is true ."
I WILL NOT  HOLD MY BREATH .,i will not be holding my breath .
"ON   DAY , WE DECLARE EU  OPEN HOUSE  SUCH TERRORIST ACTIVIST .","on that very day , we declare the eu is an open house for such terrorist activists ."
I TRUST THOSE WHO VOTE   MADNESS WILL STAND OVER IT WHEN IT ALL GO WRONG .,i trust those who voted for this madness will stand over it when it all goes wrong .
RESOLUTION CONTAIN ASSESSMENT  WHICH WE DO NOT HAVE SUFFICIENT VERIFY EVALUATION  VERIFY DATUM .,the resolution contains assessments for which we do not have sufficient verified evaluations or verified data .
Y  NOT EXACTLY SQUEAKY CLEAN .,they are not exactly squeaky clean .
Y  PEOPLE WHO  SUSPECT COMMIT ACT TERRORISM   WHOM CONCLUSIVE EVIDENCE  LACK .,they are people who are suspected of committing acts of terrorism but for whom conclusive evidence is lacking .
"PROBLEMATIC ,  SAY LEAST .","this is problematic , to say the least ."
MINE  AMONG VOICE RAISE IN CONCERN .,mine was among the voices raised in concern .
I ACCEPT UNLIKE SOME IN  CHAMBER  SE  DIFFICULT  SENSITIVE ISSUE .,i accepted unlike some in this chamber that these were difficult and sensitive issues .
NUMBER DETAINEE  RELEASE ONLY   RECAPTURE ON BATTLEFIELD AFGHANISTAN .,a number of detainees were released only to be recaptured on the battlefields of afghanistan .
"NONELESS , SOME PRINCIPLE  ABSOLUTE  OUGHT NOT   SACRIFICE  EXPEDIENCY .","nonetheless , some principles are absolute and ought not to be sacrificed to expediency ."
ONE SUCH  PRINCIPLE  NO ONE   DETAIN WITHOUT  ACCUSE OFFENCE .,one such is the principle that no one should be detained without being accused of an offence .
"COLLEAGUE , WE PREFACE EACH WE RESOLUTION ON GUANTÀ`NAMO  PROTESTATION GOODWILL .","colleagues , we prefaced each of our resolutions on guantánamo with protestations of goodwill ."
"WELL , HERE  WE CHANCE  VINDICATE  BOAST .","well , here is our chance to vindicate that boast ."
"WE ADMINISTRATION , IN DO WHAT WE HAVE LONG URGE , ASK WE ASSISTANCE .","the us administration , in doing what we have long urged , asks our assistance ."
"HOWEVER , IT  NOT  EUROPEAN UNION  DETERMINE WHO ENTER EUROPEAN UNION COUNTRY .","however , it is not for the european union to determine who enters the european union countries ."
Y HAVE SHOW WILL .,they have shown the will .
IT  TIME  WE  LISTEN  VOICE  COUNT .,it is time for us to listen to the voices that count .
"MADAM PRESIDENT , MAGNA CARTA  HABEAS CORPUS  BEDROCK UPON WHICH AMERICAN CONSTITUTION  WRITE .","madam president , magna carta and habeas corpus are the bedrocks upon which the american constitution was written ."
Y  ALSO BEDROCK UPON WHICH LAW MY COUNTRY HAVE  WRITE .,they are also the bedrock upon which the laws of my country have been written .
YOU CAN NOT CHARGE SOMEONE  LOCK HE UP WITHOUT ACCUSE HE  HAVE TRIAL .,you cannot charge someone and lock him up without accusing him and having a trial .
"NOW WE HAVE SITUATION WHERE PRESIDENT OBAMA HAVE , QUITE CORRECTLY , DECIDE  DO AWAY  IT .","now we have a situation where president obama has , quite correctly , decided to do away with it ."
"HOWEVER ,   NOT MATTER   PARLIAMENT CAN DICTATE   PARLIAMENT .","however , that is not a matter that this parliament can dictate to other parliaments ."
IN  AREA IN PARTICULAR RE  MANY OPPORTUNITY  SAVE ENERGY .,in this area in particular there are many opportunities to save energy .
WE CAN NOT TAKE RISK WHERE PREVENTION NATURE  HUMANITY  CONCERN .,we cannot take risks where the prevention of nature and humanity is concerned .
"EU CONSIDER WORKER , Y WAY LIFE  Y CONSUMPTION HABIT    FAULT .","the eu considers the workers , their way of life and their consumption habits to be at fault ."
EU AGREEMENT  THIRD COUNTRY DEMAND LIBERALISATION MARKET  PUBLIC SERVICE IN ALL SE SECTOR .,eu agreements with third countries demand the liberalisation of markets and public services in all these sectors .
"TARGET  INCLUDE SUCH AS ,  EXAMPLE ,  BIOFUEL , WHICH DESTROY HUGE FOREST .","targets are included such as , for example , for biofuels , which destroy huge forests ."
"MUTATION   PROMOTE  SUPPORT  GIVE  SINGLE CROP , REBY DESTROY BIODIVERSITY .","mutations are being promoted and support is given to single crops , thereby destroying biodiversity ."
"NOT ONLY DO IT NOT SOLVE ANYTHING ON CONTRARY , IT EXACERBATE PROBLEM CLIMATE CHANGE .","not only does it not solve anything on the contrary , it exacerbates the problem of climate change ."
CLIMATE CHANGE  ONE BIGGEST CHALLENGE FACE WORLD TODAY .,in writing . climate change is one of the biggest challenges facing the world today .
"I  IN FAVOR ENERGY EFFICIENT LIGHT BULB ,  FRANKLY IT  NOT ENOUGH .","i am in favour of energy efficient light bulbs , but frankly it is not enough ."
MY RESPONSE  CLEAR RATIFY LISBON TREATY .,my response was clear ratify the lisbon treaty .
CLIMATE CHANGE  FACT .,climate change is a fact .
"AS FAR AS INDIVIDUAL CHAPTER  CONCERN , ENERGY CHAPTER  RAR INCOMPLETE .","as far as the individual chapters are concerned , the energy chapter is rather incomplete ."
PROVISION I AGREE  REPORT .,with this provision I agree with the report .
"HOWEVER , IT SUFFER FROM STRUCTURAL WEAKNESS  REGARD  VITAL  DESIRABLE REORIENTATION EUROPEAN UNION .","however , it suffers from structural weaknesses with regard to the vital and desirable reorientation of the european union ."
"NEVERLESS ,   ESSENTIAL ELEMENT .","nevertheless , this is an essential element ."
"REGARD  INDUSTRY , REFERENCE TOLEGISLATIVE INSTRUMENTSWILL NOT SUFFICE .","with regard to industry , the reference tolegislative instrumentswill not suffice ."
"REFORE , IT WILL FAVOR NEIR LONG TERM VISION NOR GENERAL INTEREST .","therefore , it will favour neither a long term vision nor the general interest ."
ABSURD .,this is absurd .
SV RE  NO DOUBT  CLIMATE  CHANGE .,in writing . sv there is no doubt that the climate is changing .
RE  CONSIDERABLE UNCERTAINTY  REGARD  WHAT  HAPPEN  AS REGARD WHAT   DO ABOUT IT .,there is considerable uncertainty with regard to what is happening and as regards what should be done about it .
REPORT   SPRAWL .,the report is very sprawling .
"IT SEEM AS IF MEMBER INVOLVE  ENGAGE IN APPEASE PARTICULAR INTEREST , SUCH AS AGRICULTURE  TOURISM .","it seems as if the members involved are engaged in appeasing particular interests , such as agriculture and tourism ."
REPORT   FAR REMOVE FROM KEY ISSUE  I FIND MYSELF FORCE  VOTE AGAINST IT .,the report is so far removed from the key issues that I found myself forced to vote against it .
REPORT CALL ON ECONFIN  INTRODUCE REDUCE VAT RATE  RENEWABLE ENERGY  ENERGY SAVE PRODUCT .,the report calls on econfin to introduce reduced vat rates for renewable energy and energy saving products .
WHY JOINT EFFORT  REQUIRE INVOLVE ALL COUNTRY .,this is why a joint effort is required involving all countries .
I FEEL  MEASURE  PROPOSE  ACHIEVABLE  CAN  IMPLEMENT IN MEDIUM  LONG TERM .,i feel that the measures being proposed are achievable and can be implemented in the medium and long term .
I  HAPPY  SUPPORT FINAL REPORT FROM TEMPORARY COMMITTEE ON CLIMATE CHANGE .,in writing . I was happy to support the final report from the temporary committee on climate change .
CURRENT ECONOMIC CRISIS  NOT  USE AS EXCUSE  ROW BACK ON WE CLIMATE COMMITMENT .,the current economic crisis should not be used as an excuse to row back on our climate commitments .
IRELAND  REMAIN NUCLEAR FREE ISLAND .,ireland must remain a nuclear free island .
WE  DO WE BEST  SLOW DOWN  PROCESS IF NOT  HALT IT .,we must do our best to slow down this process if not to halt it .
I THANK YOU ALL .,i thank you all .
I DO NOT THINK  CULTIVATION FEED CROP  INTENSE LIVESTOCK BREED ADVERSELY AFFECT CLIMATE .,i do not think that the cultivation of feed crops for intense livestock breeding adversely affects the climate .
NOR DO I BELIEVE  EUROPEAN SOIL DIRECTIVE   INTRODUCE  ADDRESS PROBLEM CLIMATE CHANGE .,nor do I believe that a european soil directive should be introduced to address the problem of climate change .
CAN BRING NUMEROUS BENEFIT .,this can bring numerous benefits .
WE SIMPLY CAN NOT AFFORD  IGNORE  ISSUE  WAIT FIFTY YEAR  SEE WHAT CONSEQUENCE MAY  .,we simply cannot afford to ignore this issue and wait fifty years to see what the consequences may be .
"IN SPITE EFFORT BOTH COMMISSION  PARLIAMENT ,  MATTER CONTINUE  SPARK CONTROVERSY .","in spite of the efforts of both the commission and parliament , this matter continues to spark controversy ."
FURR PROBLEM INVOLVE  IDEA INTEGRATE POLICY  ALL EUROPEAN COUNTRY .,a further problem involves the very idea of an integrated policy for all european countries .
DIFFERENT COUNTRY HAVE RIGHT  SET DIFFERENT OBJECTIVE .,different countries have the right to set different objectives .
COUNTRY  HAVE RIGHT  CHOOSE TECHNOLOGY Y USE  OBTAIN ENERGY .,countries must have the right to choose the technology they use to obtain energy .
"CLIMATE CHANGE CALL  WE  TAKE STEP FORWARD IN DEVELOPMENT , NOT STEP BACK .","climate change calls for us to take a step forward in development , not a step back ."
INCLUDE INVESTMENT IN NEW TECHNOLOGY .,this includes investment in new technology .
"REPORT  DRAW UP  TEMPORARY COMMITTEE ON CLIMATE CHANGE , WHICH  APPOINT IN JUNE 200IN ORDER  ACHIEVE SE OBJECTIVE , IT WILL ALSO  NECESSARY  TAKE ACTION  LOCAL LEVEL .","this report was drawn up by the temporary committee on climate change , which was appointed in june 200in order to achieve these objectives , it will also be necessary to take action at local level ."
CHANGE IN WE CLIMATE  SUDDEN  HAVE SERIOUS NEGATIVE CONSEQUENCE .,changes in our climate are sudden and have serious negative consequences .
DE I HAVE ABSTAIN FROM VOTE ON CLIMATE CHANGE REPORT .,in writing . de I have abstained from voting on the climate change report .
DO NOT MEAN  I BELIEVE ENTIRE REPORT   BAD .,this does not mean that I believe the entire report to be bad .
"HOWEVER , IT DO COMBINE CORRECT SCIENTIFIC DATUM  FALSE POLEMIC .","however , it did combine correct scientific data and false polemics ."
ALL WORK DO  COMMITTEE  ONE SIDE  WIDE RANGE SCIENTIFIC OPINION  NOT REFLECT .,all the work done by the committee was one sided and the wide range of scientific opinion was not reflected .
IT  NOT POSSIBLE  PRODUCE BALANCED REPORT ON  BASIS .,it is not possible to produce a balanced report on this basis .
UNFORTUNATELY  TYPE APPROACH HAVE BECOME MORE COMMON IN RUN UP  EUROPEAN ELECTION .,unfortunately this type of approach has become more common in the run up to the european elections .
TIME HAVE FINALLY COME  EMPHASISE RESPONSIBILITY THOSE WHO PROFIT FROM SE PARTICULARLY VULNERABLE PEOPLE .,the time has finally come to emphasise the responsibility of those who profit from these particularly vulnerable people .
WE  STOP CRIMINALISE SE VICTIM  STIGMATISE ILLEGAL IMMIGRANT .,we must stop criminalising these victims by stigmatising illegal immigrants .
ONLY N WILL WE  ABLE  IMPLEMENT EFFECTIVE COMMON IMMIGRATION POLICY .,only then will we be able to implement an effective common immigration policy .
"I SUPPORT FAVA REPORT , WHICH WE WILL USE  IMPOSE HARSHER PUNISHMENT ON EMPLOYER USE ILLEGAL LABOR .","i support the fava report , which we will use to impose harsher punishments on employers using illegal labour ."
PROPOSE SANCTION RANGE FROM EXCLUSION FROM PUBLIC GRANT  TEMPORARY  PERMANENT CLOSURE .,other proposed sanctions range from exclusion from public grants to temporary or permanent closure .
"NEXT , POSSIBILITY LESS STRINGENT PROVISION  PRIVATE INDIVIDUAL IF PRIVATE EMPLOYMENT CONDITION  IN ORDER .","next , the possibility of less stringent provisions for private individuals if the private employment conditions are in order ."
WE CAN ONLY ENDORSE GENERAL BAN ON EMPLOYMENT ILLEGAL WORKER  DISCOURAGE ILLEGAL IMMIGRATION .,we can only endorse the general ban on the employment of illegal workers to discourage illegal immigration .
FIRST   IT HAVE EDUCATIONAL OBJECTIVE .,the first is that it has an educational objective .
"UNFORTUNATELY , LIMIT   REPORT  ALSO NUMEROUS .","unfortunately , the limits to this report are also numerous ."
RE  NOTHING ABOUT MEASURE  STOP SE INTERMITTENT FLOOD ILLEGAL IMMIGRATION .,there is nothing about measures to stop these intermittent floods of illegal immigration .
RE ESTABLISHMENT INTERNAL BORDER CONTROL  NOT EVEN  CONSIDER .,the re establishment of internal border controls is not even being considered .
WE  RESERVE JOB  FRENCH PEOPLE IN FRANCE   EUROPEAN IN EUROPE .,we must reserve jobs for french people in france and for europeans in europe .
I SUPPORT INTRODUCTION  ENFORCEMENT SANCTION AGAINST EMPLOYER ILLEGALLY RESIDENT IMMIGRANT .,in writing . I support the introduction and enforcement of sanctions against employers of illegally resident immigrants .
"Y DO POORLY PAY JOB , OFTEN BORDER ON EXPLOITATION .","they do poorly paid jobs , often bordering on exploitation ."
"I REFORE APPLAUD MR FAVA POSS INITIATIVE , AIM  PROTECT RIGHTS SE VULNERABLE PEOPLE .","i therefore applaud mr fava's initiative , aimed at protecting the rights of these vulnerable people ."
COMMUNIST PARTY GREECE VOTE AGAINST BOTH REPORT  COMMISSION POSS PROPOSAL  DIRECTIVE .,the communist party of greece votes against both the report and the commission's proposal for a directive .
I SUPPORT MOTION  RESOLUTION ON CHALLENGE ENERGY EFFICIENCY THROUGH INFORMATION  COMMUNICATION TECHNOLOGY .,i supported the motion for a resolution on the challenge of energy efficiency through information and communication technologies .
GREATEST SAVINGS   POSSIBLE IN SECTOR DEAL  PRODUCTION  TRANSMISSION ELECTRICITY .,the greatest savings might be possible in the sector dealing with the production and transmission of electricity .
EUROPE  FINALLY START  SHOW SOLIDARITY IN WAY IT THINK  ACT .,europe must finally start to show solidarity in the way it thinks and acts .
ENERGY EFFICIENCY PROGRAM HAVE POTENTIAL  CREATE JOB .,energy efficiency programmes have the potential to create jobs .
I VOTE IN FAVOR  RESOLUTION ON RETURN  REINTEGRATION DETAINEE FROM GUANTÀ`NAMO DETENTION CENTER .,i voted in favour of this resolution on the return and reintegration of detainees from the guantánamo detention centre .
"NEVERLESS , I ACCEPT  GUANTÀ`NAMO BAY PRISON  CLOSE .","nevertheless , I accept that guantánamo bay prison should close ."
I DO NOT SUPPORT IDEA EU MEMBER STATE TAKE RESPONSIBILITY  SE EXTREMELY DANGEROUS TERRORIST .,i do not support the idea of eu member states taking responsibility for these extremely dangerous terrorists .
"HOWEVER , NOR DO I THINK EU  TELL MEMBER STATE WHAT  DO IN  REGARD .","however , nor do I think the eu should tell member states what to do in this regard ."
I REFORE VOTE  ABSTAIN ON  RESOLUTION .,i therefore voted to abstain on this resolution .
WE HAVE    CAREFUL WHEN TAKE DECISION LIKE THOSE PROPOSE IN  RESOLUTION .,in writing . we have to be very careful when taking decisions like those proposed in this resolution .
WE CAN NOT JUST OPEN WE ARM  WELCOME EVERYONE RELEASE FROM GUANTÀ`NAMO .,we cannot just open our arms and welcome everyone released from guantánamo .
ANY HAPHAZARD DECISION MAY  FATAL IF WE DO NOT PAY UTMOST ATTENTION .,any haphazard decisions may be fatal if we do not pay the utmost attention .
"HOWEVER , I  DEEPLY CONCERN  REPORT  OBAMA ADMINISTRATION   RETAIN PRACTICE RENDITION .","however , I am deeply concerned by reports that the obama administration is to retain the practice of rendition ."
"RESOLUTION , HOWEVER","the resolution , however"
IMPORTANT STEP TOWARDS NEW BEGIN IN WE POLICY .,this is an important step towards a new beginning in us policy .
"HOWEVER ,  WILL REPRESENT Y OWN CHOICE  GOOD WILL  RESPECT  HUMANITARIAN  INTERNATIONAL LEGAL NORM .","however , that will represent their own choice and good will and respect for humanitarian and international legal norms ."
CELEBRATION  SALUTATION SURROUND PRESIDENT OBAMA  MAKE PEOPLE DELUDE MSELVES ABOUT POLICY IMPERIALISM .,the celebrations and salutations surrounding president obama are making people delude themselves about the policy of imperialism .
"HOWEVER , REPORT CONTAIN FEW POINT WHICH MAKE IT DIFFICULT  VOTE IN ITS FAVOR .","however , the report contains a few points which make it difficult to vote in its favour ."
CLOSURE GUANTÀ`NAMO  GOOD NEWS BOTH IN ITSELF  SYMBOLICALLY .,the closure of guantánamo is good news both in itself and symbolically .
"WITHOUT  , GUANTÀ`NAMO WILL  FOLLOW  ANOR POOR SOLUTION .","without that , guantánamo will be followed by another poor solution ."
WILLINGNESS  CAUTION   CRITERION ADOPT .,willingness and caution should be the criteria adopted .
WE CAN NOT INTERFERE IN MATTER IN WHICH UNITE STATESGOVERNMENT HAVE SOLE COMPETENCE .,we cannot interfere in a matter in which the united statesgovernment has sole competence .
I WELCOME NEWS BARACK OBAMA POSS DECISION CONCERN CLOSURE GUANTÀ`NAMO BAY PRISON .,i welcomed the news of barack obama's decision concerning the closure of the guantánamo bay prison .
"DURING HE ELECTION CAMPAIGN , MR OBAMA HAVE ALREADY UNDERLINE  CLOSE  NOTORIOUS PRISON   PRIORITY .","during his election campaign , mr obama had already underlined that closing this notorious prison would be a priority ."
"IF Y  FIND GUILTY , Y  SERVE Y SENTENCE IN PRISON IN UNITE STATE .","if they are found guilty , they should serve their sentence in a prison in the united states ."
RE  CURRENTLY AROUND 242 PRISONER HOLD  GUANTÀ`NAMO .,there are currently around 242 prisoners held at guantánamo .
SOME Y  RE ONLY BECAUSE RE  NO SAFE COUNTRY  WHICH Y CAN RETURN .,some of them are there only because there is no safe country to which they can return .
SE PEOPLE HAVE NOT  CHARGE  ANY CRIME .,these people have not been charged with any crime .
MINUTE PREVIOUS SIT  APPROVE,the minutes of the previous sitting were approved
COLLEAGUE FROM BIG GROUP ELABORATE POLITICAL MESSAGE CHAIR WANT  HEAR  TREAT  GREAT GENEROSITY .,colleagues from big groups elaborating the political message the chair wants to hear are treated with great generosity .
I WANT  REMIND MR PÀ?TTERING  ALL HE VICE PRESIDENT,i want to remind mr pöttering and all his vice presidents
PRESIDENT INFORM SPEAKER  HE HAVE EXCEED HE SPEAKING TIME,the president informed the speaker that he had exceeded his speaking time
"MR LUNDGREN , I  NOW CUT YOU OFF .","mr lundgren , I am now cutting you off ."
I HAVE TAKE NOTE WHAT YOU HAVE SAY .,i have taken note of what you have said .
I BELIEVE  IT  CLEAR  EVERYONE .,i believe that it is clear to everyone .
HE  NOT HAVE  INTERRUPT  YOU .,he would not have been interrupted by you .
GREAT DIFFERENCE .,this is the great difference .
YOU PROVE MY POINT THANK YOU  MUCH .,but you prove my point thank you very much .
"MR LUNDGREN , I  SURE  YOU  MISTAKEN .","mr lundgren , I am sure that you are mistaken ."
NEXT ITEM  COUNCIL  COMMISSION STATEMENT ON KOSOVO .,the next item is the council and commission statements on kosovo .
"IN  CASE RAPPORTEUR HAVE NO OFFICIAL SPEAKING TIME , WHICH I BELIEVE  APPALLING SITUATION .","in this case the rapporteur has no official speaking time , which I believe is an appalling situation ."
"IF RAPPORTEUR  ONLY  PRESENT INITIATIVE REPORT ON MONDAY EVENING , HE  HAVE FOUR MINUTE .","if the rapporteur were only to present the initiative report on monday evening , he would have four minutes ."
I THINK    UNFAIR .,i think that this is unfair .
"HOWEVER , I  LIKE  ASK YOU  THINK ABOUT  CAREFULLY .","however , I would like to ask you to think about this carefully ."
